"variable","countyfips","year","value"
"JOBSI0C","3","1990",6296.75211237494
"JOBSI0C","7","1990",2359.82953882691
"JOBSI0C","9","1990",1878.06329137056
"JOBSI0C","11","1990",1916.5121212957
"JOBSI0C","15","1990",5271.67024844998
"JOBSI0C","17","1990",1033.33797457171
"JOBSI0C","19","1990",2656.35051187112
"JOBSI0C","21","1990",2138.55328958294
"JOBSI0C","23","1990",1069.16893429391
"JOBSI0C","25","1990",1082.3657774153
"JOBSI0C","27","1990",603.315395526468
"JOBSI0C","29","1990",7049.06256596485
"JOBSI0C","33","1990",635.503455370557
"JOBSI0C","37","1990",17478.3232589464
"JOBSI0C","39","1990",2488.32696307393
"JOBSI0C","41","1990",209396.76382695
"JOBSI0C","43","1990",11076.5978310642
"JOBSI0C","45","1990",15460.2150548819
"JOBSI0C","47","1990",652.898109700031
"JOBSI0C","49","1990",5426.33797856875
"JOBSI0C","51","1990",6172.2831689084
"JOBSI0C","53","1990",216.259047496401
"JOBSI0C","55","1990",1783.56819654633
"JOBSI0C","57","1990",749.223872117433
"JOBSI0C","61","1990",741.899702741812
"JOBSI0C","63","1990",3744.88862291333
"JOBSI0C","65","1990",2253.27020003248
"JOBSI0C","67","1990",17190.7729997038
"JOBSI0C","69","1990",92662.1012313128
"JOBSI0C","71","1990",4950.29826317005
"JOBSI0C","73","1990",2292.93533172036
"JOBSI0C","75","1990",8693.77301126554
"JOBSI0C","77","1990",43979.3091074071
"JOBSI0C","79","1990",331.085182562615
"JOBSI0C","81","1990",5343.29327600988
"JOBSI0C","83","1990",8210.20393042373
"JOBSI0C","85","1990",11448.6541849954
"JOBSI0C","87","1990",10601.890680581
"JOBSI0C","89","1990",8212.33700879785
"JOBSI0C","91","1990",1110.2341777077
"JOBSI0C","93","1990",1607.69238213706
"JOBSI0C","95","1990",1761.15843569647
"JOBSI0C","97","1990",15626.5562307838
"JOBSI0C","99","1990",6103.3816791043
"JOBSI0C","101","1990",50867.5323290734
"JOBSI0C","103","1990",3132.50103916159
"JOBSI0C","105","1990",4313.395743238
"JOBSI0C","107","1990",10675.7638400906
"JOBSI0C","109","1990",2029.66335701325
"JOBSI0C","111","1990",503.483889517123
"JOBSI0C","113","1990",2957.59814355489
"JOBSI0C","115","1990",1137.12420461972
"JOBSI0C","117","1990",13270.0415123976
"JOBSI0C","119","1990",3441.57980672593
"JOBSI0C","121","1990",2390.52590170903
"JOBSI0C","123","1990",59907.7187574448
"JOBSI0C","125","1990",4367.94274365587
"JOBSI0C","500","1990",1124761.15078446
"JOBSI0C","3","1991",6291.58852998904
"JOBSI0C","7","1991",2474.81776632411
"JOBSI0C","9","1991",1859.81459123891
"JOBSI0C","11","1991",1841.69304038998
"JOBSI0C","15","1991",5557.15883613963
"JOBSI0C","17","1991",1045.94517420624
"JOBSI0C","19","1991",2698.0689180364
"JOBSI0C","21","1991",2138.4946218643
"JOBSI0C","23","1991",1105.47791125802
"JOBSI0C","25","1991",1013.87848745758
"JOBSI0C","27","1991",665.500894959457
"JOBSI0C","29","1991",7194.83962218848
"JOBSI0C","33","1991",614.07134572906
"JOBSI0C","37","1991",18162.6773199101
"JOBSI0C","39","1991",2552.19360921418
"JOBSI0C","41","1991",213983.017290476
"JOBSI0C","43","1991",11077.4846249719
"JOBSI0C","45","1991",15645.3868943672
"JOBSI0C","47","1991",993.428405501425
"JOBSI0C","49","1991",5645.35991332407
"JOBSI0C","51","1991",6218.13301398451
"JOBSI0C","53","1991",255.951533426804
"JOBSI0C","55","1991",1763.22694617057
"JOBSI0C","57","1991",705.882987310328
"JOBSI0C","61","1991",713.963980031291
"JOBSI0C","63","1991",3580.37884810369
"JOBSI0C","65","1991",2337.14666142949
"JOBSI0C","67","1991",18268.8953030279
"JOBSI0C","69","1991",96856.700411593
"JOBSI0C","71","1991",4951.703755603
"JOBSI0C","73","1991",2469.59971289573
"JOBSI0C","75","1991",8311.72773350916
"JOBSI0C","77","1991",45044.8065622604
"JOBSI0C","79","1991",358.564281899642
"JOBSI0C","81","1991",5319.60471431151
"JOBSI0C","83","1991",8322.00631873243
"JOBSI0C","85","1991",11517.9975428528
"JOBSI0C","87","1991",11069.5230868449
"JOBSI0C","89","1991",8373.33658118685
"JOBSI0C","91","1991",1215.94627879558
"JOBSI0C","93","1991",1706.87269690863
"JOBSI0C","95","1991",1689.73467539241
"JOBSI0C","97","1991",14723.3497753652
"JOBSI0C","99","1991",5939.79472018474
"JOBSI0C","101","1991",50661.8406331234
"JOBSI0C","103","1991",3252.14771514936
"JOBSI0C","105","1991",4337.82783845483
"JOBSI0C","107","1991",11072.1052243569
"JOBSI0C","109","1991",2104.31262621483
"JOBSI0C","111","1991",412.994100000131
"JOBSI0C","113","1991",3277.88285985615
"JOBSI0C","115","1991",1093.80779767484
"JOBSI0C","117","1991",14162.6716284042
"JOBSI0C","119","1991",3973.5172635489
"JOBSI0C","121","1991",2256.25763948226
"JOBSI0C","123","1991",61605.283639753
"JOBSI0C","125","1991",4279.70879819776
"JOBSI0C","500","1991",1148900.83431356
"JOBSI0C","3","1992",6414.66473098311
"JOBSI0C","7","1992",2555.7936885344
"JOBSI0C","9","1992",1892.45211016331
"JOBSI0C","11","1992",1845.39430434057
"JOBSI0C","15","1992",5690.16959480481
"JOBSI0C","17","1992",1047.53505956698
"JOBSI0C","19","1992",2810.0628648909
"JOBSI0C","21","1992",2109.20572035102
"JOBSI0C","23","1992",1140.51169233474
